Iteration_1 # 2 agents, 2 dimensions
rep = 28, x_best = [ 0.00263187  0.19533274 -0.00421406], f_best = 1.1284276407873541
rep = 29, x_best = [0.0184246  0.17346156 0.00143181], f_best = 4.884633296614183
rep = 30, x_best = [0.02297396 0.20593974 0.18631546], f_best = 5.639335473397097
Iteration_10
rep = 1, x_best = [-0.1863165   0.18213096  0.21900761  0.01845843 -0.16423914], f_best = 14.127492629845037
rep = 2, x_best = [0.4226376  0.39259849 0.0012878  0.19644337 0.19081025], f_best = 15.679596768146851
rep = 3, x_best = [ 0.20544964 -0.35547866  0.1983199   0.22378961  0.20806595], f_best = 18.95173205997526
rep = 4, x_best = [ 0.20509167 -0.34858286  0.21394284 -0.14975865 -0.00457728], f_best = 25.20107568979874
rep = 5, x_best = [ 0.01587648  0.01006629  0.0354831  -0.20856102 -0.00065995], f_best = 9.712925609023586
rep = 6, x_best = [ 0.14308904  0.22188006 -0.20260277  0.19542516  0.00642766], f_best = 18.91788327979105
rep = 7, x_best = [ 0.19294787 -0.1784622  -0.17921231 -0.21723061 -0.23579895], f_best = 17.85458568808378
rep = 8, x_best = [ 0.22865937 -0.188635    0.40285642 -0.17669325  0.20691663], f_best = 17.14531748839849
rep = 9, x_best = [-0.00411357  0.37620575 -0.20475603 -0.18182629 -0.38159114], f_best = 12.441276338295054
rep = 10, x_best = [0.41070327 0.00376779 0.57778184 0.195418   0.38962825], f_best = 20.58933023273843
rep = 11, x_best = [-0.3946397   0.24476977 -0.17665742  0.19362776 -0.01675915], f_best = 20.92772553351262
rep = 12, x_best = [ 0.00511441  0.3815581  -0.00176709 -0.40053768  0.21900018], f_best = 13.123476360924421
rep = 13, x_best = [0.58224356 0.21781008 0.20448403 0.18318457 0.17413669], f_best = 18.894026441063623
rep = 14, x_best = [ 0.39545193  0.21240938 -0.37664414 -0.21631692 -0.38654985], f_best = 19.017403953099198
rep = 15, x_best = [ 0.18031289 -0.17414504  0.3955942  -0.01744653  0.3954581 ], f_best = 15.011597107187981
rep = 16, x_best = [ 0.01879499 -0.18102259 -0.41282816  0.21453578 -0.19697321], f_best = 14.681166864284876
rep = 17, x_best = [-0.19599971 -0.187872    0.23493164 -0.02911286  0.17222884], f_best = 18.254363200422755
rep = 18, x_best = [ 0.19588786 -0.2130385   0.18780415  0.17097227 -0.40391268], f_best = 13.849562683208958
rep = 19, x_best = [-0.20716128  0.17266572 -0.58205621  0.00246646 -0.39049701], f_best = 18.150925889831953
rep = 20, x_best = [0.17802791 0.24009634 0.19747192 0.18006557 0.14516011], f_best = 26.60469220966371
rep = 21, x_best = [ 0.21586637  0.16874385  0.21771903  0.17639551 -0.1893217 ], f_best = 14.976762351162137
